G,Date,Loc,Opp,W/L,Tm,Opp
1,11/6/23,H,Idaho,W,84,59
2,11/10/23,H,Prairie View,W,83,65
3,11/18/23,N,Mississippi State,L,64,76
4,11/19/23,N,Rhode Island,W,78,57
5,11/24/23,H,Utah Tech,W,93,53
6,11/27/23,H,Eastern Washington,W,82,72
7,12/2/23,H,Portland State,W,71,61
8,12/6/23,H,UC-Riverside,W,86,49
9,12/10/23,H,Grambling,W,83,65
10,12/16/23,N,Santa Clara,L,61,69
11,12/21/23,N,Boise State,W,66,61
12,12/29/23,@,Utah,L,58,80
13,12/31/23,@,Colorado,L,67,74
14,1/4/24,H,Oregon State,W,65,58
15,1/6/24,H,Oregon,L,84,89
16,1/10/24,@,USC,W,72,64
17,1/13/24,H,Arizona,W,73,70
18,1/18/24,@,Stanford,W,89,75
19,1/20/24,@,California,L\'a0(1 OT),75,81
20,1/24/24,H,Utah,W,79,57
21,1/27/24,H,Colorado,W,78,69
22,2/3/24,@,Washington,W\'a0(1 OT),90,87
23,2/8/24,@,Oregon State,W,64,58
24,2/10/24,@,Oregon,W,62,56
25,2/15/24,H,California,W,84,65
26,2/17/24,H,Stanford,W,72,59
27,2/22/24,@,Arizona,W,77,74
28,2/24/24,@,Arizona State,L,61,73
29,2/29/24,H,USC,W,75,72
30,3/2/24,H,UCLA,W,77,65
31,3/7/24,H,Washington,L,68,74
32,3/14/24,N,Stanford,W,79,62
33,3/15/24,N,Colorado,L,52,58
34,3/21/24,N,Drake,W,66,61
35,3/23/24,N,Iowa State,L,56,67
